id,value,color
Root
Root.heart
Root.heart.1174106,0.333333333333,#55bbd9
Root.heart.1174328,0.425,#6cc4de
Root.heart.1174105,0.4,#66c1dc
Root.heart.1190026,0.391666666667,#63c0dc
Root.pain
Root.pain.1190544,0.1,#742776
Root.pain.1193046,0.4875,#b084b1
Root.pain.1192940,0.1,#742776
Root.pain.1172014,0.490416666667,#b085b1
Root.pain.1172020,0.388095238095,#a06ca1
Root.pain.1193267,0.498391248391,#b187b2
Root.pain.1173274,0.421111111111,#a574a7
Root.pain.1173520,0.54,#b891b9
Root.pain.1173986,0.4,#a26fa3
Root.pain.1190315,0.389285714286,#a06da2
Root.pain.1176099,0.349108669109,#9a639c
Root.pain.1176101,0.1,#742776
Root.pain.1172688,0.1,#742776
Root.pain.1173628,0.1,#742776
Root.pain.1174537,0.1,#742776
Root.pain.1173629,1.0,#ffffff
Root.pain.1174539,0.1,#742776
Root.pain.1174184,0.31,#945a96
Root.pain.1190585,0.511414565826,#b38ab4
Root.pain.1193323,0.465818181818,#ac7fad
Root.pain.1189887,0.675,#ccb1cd
Root.pain.1189838,0.479346495256,#ae82af
Root.pain.1189845,0.1,#742776
Root.pain.1189785,0.458181818182,#ab7dac
Root.pain.1190203,0.50625,#b288b3
Root.infection
Root.infection.1193566,0.1,#45729f
Root.infection.1189989,0.426984126984,#88a5c2
Root.infection.1193563,0.436805555556,#8aa7c3
Root.infection.1193220,0.402154195011,#83a1bf
Root.infection.1192946,0.544097222222,#a1b7ce
Root.infection.1193035,0.434577922078,#8aa6c3
Root.infection.1190598,0.475141723356,#92adc7
Root.infection.1173662,0.4,#83a1bf
Root.infection.1174900,0.1,#45729f
Root.infection.1177624,0.1,#45729f
Root.infection.1178342,0.686136363636,#becedd
Root.infection.1181269,0.253869047619,#658aaf
Root.infection.1190677,0.664285714286,#b9cadb
Root.infection.1193344,0.433333333333,#8aa6c2
Root.infection.1193345,0.72,#c5d3e1
Root.infection.1193517,0.1,#45729f
Root.infection.1193711,0.545714285714,#a1b8ce
Root.infection.1172078,0.44126984127,#8ba7c3
Root.infection.1190193,0.9,#eaeff4
Root.women_related
Root.women_related.1190697,0.359259259259,#ff68b9
Root.women_related.1193223,0.513082251082,#ff8cca
Root.women_related.1190709,0.1,#ff2b9d
Root.women_related.1193309,0.478050917337,#ff84c6
Root.women_related.1174538,0.6,#ffa1d3
Root.women_related.1176316,0.1,#ff2b9d
Root.women_related.1176183,0.540379008746,#ff92cd
Root.women_related.1179603,0.1,#ff2b9d
Root.women_related.1179604,0.1,#ff2b9d
Root.women_related.1193595,0.454523111297,#ff7ec4
Root.women_related.1182405,0.1,#ff2b9d
Root.women_related.1193556,0.1,#ff2b9d
Root.women_related.1190473,0.333333333333,#ff62b7
Root.women_related.1193706,0.95,#fff3f9
Root.women_related.1193840,0.3,#ff5ab3
Root.women_related.1193847,0.3,#ff5ab3
Root.women_related.1179621,0.1,#ff2b9d
Root.women_related.1182131,0.56,#ff97cf
Root.women_related.1176918,0.1,#ff2b9d
Root.women_related.1190687,0.43743206715,#ff7ac2
Root.muscle
Root.muscle.1189950,0.1,#e88119
Root.muscle.648620,0.1,#e88119
Root.muscle.1190638,0.5,#f2b97f
Root.muscle.1193357,0.1,#e88119
Root.muscle.1180729,0.514197530864,#f2ba83
Root.diabetes
Root.diabetes.1193219,0.404033189033,#a385e0
Root.diabetes.1173512,0.587061087061,#bfaae9
Root.diabetes.1172534,0.125,#794cd2
Root.diabetes.1173515,0.533333333333,#b79fe7
Root.diabetes.1173692,0.1,#7547d1
Root.diabetes.1175615,0.52196969697,#b59de6
Root.diabetes.1193227,0.48013521458,#af94e4
Root.diabetes.1193234,0.473526785714,#ae93e4
Root.diabetes.1189914,0.43080952381,#a78ae1
Root.diabetes.1194000,0.52493015873,#b69ee6
Root.diabetes.1190010,0.1,#7547d1
Root.diabetes.1190062,0.582692307692,#bfa9e9
Root.diabetes.1193833,0.1,#7547d1
Root.diabetes.1193844,0.1,#7547d1
Root.diabetes.1177059,0.507417582418,#b39ae5
Root.diabetes.1193828,0.1,#7547d1
