id,value,color
Root
Root.pain
Root.pain.5056352,0.548148148148,#b993ba
Root.pain.5048825,0.685416666667,#ceb3cf
Root.pain.1190315,0.389285714286,#a06da2
Root.pain.5013621,0.503703703704,#b288b3
Root.pain.5052341,0.6,#c19fc2
Root.pain.5047480,0.525,#b58db6
Root.pain.5042864,0.389583333333,#a06da2
Root.pain.1182144,0.441061050061,#a879aa
Root.pain.1192606,0.425,#a675a7
Root.infection
Root.infection.5051349,0.45,#8da9c4
Root.infection.5049308,0.6875,#becedd
Root.infection.1200375,0.456845238095,#8faac5
Root.infection.1197783,0.1,#45729f
Root.infection.5055565,0.526818181818,#9db5cc
Root.infection.5053017,0.433055555556,#8aa6c2
Root.infection.1178342,0.686136363636,#becedd
Root.infection.5055951,0.634571428571,#b3c5d8
Root.infection.5045846,0.392857142857,#81a0be
Root.infection.5056310,0.374478885894,#7e9dbc
Root.infection.5050137,0.1,#45729f
Root.infection.5030169,0.553632478632,#a3b9cf
Root.infection.1194154,0.1,#45729f
Root.infection.1198027,0.1,#45729f
Root.lung_liver
Root.lung_liver.5055560,0.478167989418,#c27d7d
Root.lung_liver.5048400,0.407142857143,#ba6b6b
Root.lung_liver.5046324,0.476118326118,#c27d7d
Root.lung_liver.5051436,0.475,#c27c7c
Root.lung_liver.5055373,0.358333333333,#b45f5f
Root.lung_liver.1178955,0.505,#c58484
Root.lung_liver.5044391,0.728571428571,#dfbbbb
Root.lung_liver.5043832,0.4375,#bd7373
Root.lung_liver.5030029,0.5375,#c98c8c
Root.lung_liver.1174033,0.5,#c58383
Root.lung_liver.1177360,0.1,#961f1f
Root.lung_liver.1177360,0.1,#961f1f
Root.blood
Root.blood.1198208,0.1,#bf4242
Root.blood.5050684,0.401794871795,#d48181
Root.blood.1199683,0.1,#bf4242
Root.blood.1197790,0.546428571429,#dea0a0
Root.blood.1174106,0.333333333333,#cf7373
Root.women_related
Root.women_related.5054160,0.456693923361,#ff7fc4
Root.women_related.5055267,0.329985119048,#ff61b6
Root.women_related.5057810,0.393205128205,#ff70bd
Root.women_related.5050403,0.4,#ff72be
Root.women_related.5058941,0.1,#ff2b9d
Root.women_related.5059586,0.516666666667,#ff8dca
Root.women_related.1194504,0.1,#ff2b9d
Root.women_related.1191739,0.1,#ff2b9d
Root.women_related.1191500,0.625,#ffa6d6
Root.women_related.1193847,0.3,#ff5ab3
Root.muscle
Root.muscle.1193706,0.95,#fdf8f2
Root.muscle.1181543,0.425,#f0ae6c
Root.muscle.5049936,0.6,#f5c799
Root.muscle.5055259,0.452172619048,#f1b273
Root.muscle.5060201,0.45,#f1b272
Root.muscle.5055659,0.324074074074,#eea052
Root.muscle.1197783,0.1,#e88119
Root.muscle.1194436,0.466666666667,#f1b477
Root.muscle.1179031,0.355,#eea45a
Root.muscle.1179056,0.417333333333,#f0ad6a
Root.muscle.5055395,0.53125,#f3bd87
Root.muscle.5042675,0.54010989011,#f3be89
Root.muscle.1191500,0.625,#f5ca9f
Root.muscle.1193744,0.535364145658,#f3bd88
Root.muscle.1172688,0.1,#e88119
Root.muscle.5039662,0.1,#e88119
Root.muscle.1178161,1.0,#ffffff
Root.muscle.5054588,0.5,#f2b97f
Root.muscle.5047419,0.638888888889,#f5cca2
Root.muscle.5052387,0.60625,#f5c79a
Root.muscle.5047379,0.355952380952,#eea45a
Root.muscle.5042869,0.522222222222,#f3bc85
Root.muscle.5049056,0.304166666667,#ed9d4d
Root.muscle.1194612,0.526515151515,#f3bc86
Root.muscle.1192940,0.1,#e88119
Root.muscle.1174525,0.1,#e88119
Root.muscle.1190319,0.483333333333,#f2b67b
Root.muscle.1179621,0.1,#e88119
Root.muscle.1200000,0.4,#f0ab66
Root.muscle.1179621,0.1,#e88119
Root.muscle.1197783,0.1,#e88119
Root.muscle.1182236,0.571428571429,#f4c391
Root.muscle.1177939,0.1,#e88119
Root.muscle.1178161,1.0,#ffffff
Root.muscle.1193840,0.3,#ed9d4c
Root.muscle.1193844,0.1,#e88119
Root.muscle.1197790,0.546428571429,#f3bf8b
Root.muscle.1181816,0.1,#e88119
Root.muscle.1189733,0.4,#f0ab66
Root.muscle.1179603,0.1,#e88119
Root.muscle.1182236,0.571428571429,#f4c391
Root.muscle.1191500,0.625,#f5ca9f
Root.muscle.1191265,0.45,#f1b272
Root.muscle.2000014,0.2,#eb8f33
